status,title,journal_type,write_date,update_date,visit
1,"Hak-Hui Choi, Dong-Seong Kim, &#34;원격측정 기반 소형 무인 잠수정 실시간 위치 추정 시스템의 설계 및 구현 Design and Implementation of Real-time Position Prediction System of Telemetry-based for a Midget Unmanned Submarines,&#34; (Pr), 2015",2,8/25/2015 13:48,2/7/2017 9:08,1675
1,"박인택, 김승환, 김동성, &#34;선박 엔진용 근접센서를 이용한 선박엔진 고장진단시스템 설계 및 성능 분석(Design and Performance Evaluation of Marine Engine  Fault Detection System using Proximity Sensor for Marine Engine)&#34;, Journal of Institute of Control, Robotics and Systems, Vol.22, No.8, pp.1-8, August 2016. (제어 로봇 시스템학회 논문지), (ISSN: 1976-5622)",2,1/29/2016 13:34,10/8/2018 11:04,2594
1,"Sang-Hyun Hwang, Chul-Ju Chung and Dong-Seong Kim, &#34;Design and Implementation of Real-Time Helmet Pose Tracking System&#34;, Journal of The Korean Society for Aeronautical and Space Sciences, vol.44, no.2, pp.123-130(ISSN 1225-1348), 2016",2,2/15/2016 17:41,3/16/2018 10:42,1890
1,"Yong-Ju Ji, Hye-Min Lee, Hak-Hui Choi and Dong-Seong Kim, &#34;수중 센서네트워크를 위한 채널 특성기반의 협력 통신기법(Cooperative Communication Scheme Based on channel Characteristic for Underwater Sensor Networks),&#34; 대한전자공학회(IEEK), (IF: 0.197, ISSN: 1229-635X), Vol. 53, No. 6, pp.0-8, 2016.",2,5/28/2016 13:39,10/8/2018 13:14,1704
1,"Yong-Ju Ji, Hak-Hui Choi and Dong-Seong Kim, &#34;Q-learning 모델을 이용한 IoT 기반 주차유도 시스템의 설계 및 구현(Design and Implementation of parking guidance system based on Internet of Things(IoT) using Q-learning model),&#34; 대한임베디드공학회(IEMEK),(IF: 0.151, ISSN: 1975-5066), Vol. 11, No. 3, pp.0-8, 2016.",2,5/28/2016 13:44,10/8/2018 13:14,1813
4,"S.-P. Ahn, D.-H. Kim, J.-M. Lee, and D.-S. Kim, &#34;Analysis of Wireless Network Technology for High Reliability Aircraft Networks(고 신뢰성 항공기 무선 네트워크 동향 및 기술 분석)&#34;, The Journal of Korean Institute of Communication and Information Sciences(J-KICS), (ISSN : 1226-4717), vol. 41, no.12, pp.1933-1941, Dec. 2016.",2,9/5/2016 13:27,7/12/2019 17:28,2264
2,"임지철, 문창배, 김동성, &#34;가상화 기반 함정 전투 시스템 클러스터의 Migration 최소화 기법 (Migration Minimization Scheme for Virtualization-based Naval combat Cluster)&#34;, Journal of the KIMST (ISSN: 1598-9127), 2017. (S)",2,1/31/2017 22:37,5/10/2019 16:07,1253
4,"Yong-Hyeun Kwon, Joong-Hyuk Cha, and Dong-Seong Kim, &#34;전술 무선통신망의 응답시간 및 처리량 개선을 위한 비대칭 다중접속기법 설계 및 성능분석 (Design and performance analysis of Asymmetric Time Division Multiple Access Method for Improving Response Time and Throughput in Tactical Radio Communication),&#34; 한국군사과학기술학회 (KIMST), Vol. 21, No. 3, pp 361-369, Jun, 2018 (군사과학기술학회 최우수논문상)",2,7/13/2017 11:56,5/10/2019 16:25,1355
1,"김규백, 조홍규, 김동성, &#34;해군전투체계의 적응형 모의사격시뮬레이터 설계 및 구현(Design and Implementation of Adaptive Artillery Simulator on a Naval Combat System)&#34;, Journal of KIMST, Vol. 21, No. 5, pp. 630-693, Oct. 2018",2,8/6/2017 21:00,3/11/2019 14:28,1645
1,"Seung-Hwan Kim, Jae-Min Lee and Dong-Seong Kim, &#34;항공기내 무선통신망 구현을 위한 협력통신 기반의 성능분석(Performance analysis of wireless avionics intra-communication network based on cooperative communication),&#34; 대한전자공학회(IEEK), Vol. 55, No. 2, pp. 1-8, Feb. 2018,  ISSN: 1229-635X",2,12/29/2017 21:35,3/16/2018 10:47,1340
